"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","645","test_country_name_service","","Wed Feb 18 19:08:38 UTC 2026","passed","Wed Feb 18 19:08:39 UTC 2026","","","",""
"","842","Переход на страницу авторизации со страницы успешной регистрации","","Wed Feb 18 19:09:12 UTC 2026","passed","Wed Feb 18 19:09:13 UTC 2026","","","",""
"","11","Создание Траты","","Wed Feb 18 19:08:32 UTC 2026","broken","Wed Feb 18 19:08:32 UTC 2026","","","",""
"","9","Создание Траты","","Wed Feb 18 19:08:34 UTC 2026","broken","Wed Feb 18 19:08:34 UTC 2026","","","",""
"","1627","Выход из аккаунта","","Wed Feb 18 19:08:43 UTC 2026","passed","Wed Feb 18 19:08:45 UTC 2026","","","",""
"","1824","Успешное добавление траты","","Wed Feb 18 19:09:16 UTC 2026","passed","Wed Feb 18 19:09:18 UTC 2026","","","",""
"","1111","Отменить добавление траты","","Wed Feb 18 19:09:14 UTC 2026","passed","Wed Feb 18 19:09:15 UTC 2026","","","",""
"","173","test_country_iso_service","","Wed Feb 18 19:08:39 UTC 2026","passed","Wed Feb 18 19:08:39 UTC 2026","","","",""
"","80","Редактирование траты","","Wed Feb 18 19:08:37 UTC 2026","passed","Wed Feb 18 19:08:37 UTC 2026","","","",""
"","145","Добавить новую категорию","","Wed Feb 18 19:08:54 UTC 2026","passed","Wed Feb 18 19:08:55 UTC 2026","","","",""
"","1826","Редактирование категории","","Wed Feb 18 19:09:01 UTC 2026","failed","Wed Feb 18 19:09:02 UTC 2026","","","",""
"","9","Создание траты  без описания","","Wed Feb 18 19:08:35 UTC 2026","broken","Wed Feb 18 19:08:35 UTC 2026","","","",""
"","395","Переход на страницу регистрации со страницы авторизации","","Wed Feb 18 19:08:52 UTC 2026","passed","Wed Feb 18 19:08:52 UTC 2026","","","",""
"","5664","Отображение сообщения о неправильном логине или пароле","","Wed Feb 18 19:08:46 UTC 2026","failed","Wed Feb 18 19:08:51 UTC 2026","","","",""
"","2318","Успешная авторизация","","Wed Feb 18 19:08:40 UTC 2026","passed","Wed Feb 18 19:08:42 UTC 2026","","","",""
"","0","Получить все категории","","Wed Feb 18 19:08:32 UTC 2026","broken","Wed Feb 18 19:08:32 UTC 2026","","","",""
"","810","KAFKA: Заполнение userdata исключая auth","","Wed Feb 18 19:08:38 UTC 2026","broken","Wed Feb 18 19:08:38 UTC 2026","","","",""
"","0","Редактирование категории","","Wed Feb 18 19:08:31 UTC 2026","broken","Wed Feb 18 19:08:31 UTC 2026","","","",""
"","682","Успешная регистрация","","Wed Feb 18 19:09:05 UTC 2026","passed","Wed Feb 18 19:09:06 UTC 2026","","","",""
"","210","KAFKA: Сообщение с пользователем публикуется в Kafka после успешной регистрации","","Wed Feb 18 19:08:37 UTC 2026","passed","Wed Feb 18 19:08:38 UTC 2026","","","",""
"","714","Отображение сообщения об ошибке если пользователь уже существует","","Wed Feb 18 19:09:10 UTC 2026","passed","Wed Feb 18 19:09:11 UTC 2026","","","",""
"","42","Отображение сообщения при попытке создать категорию без названия","","Wed Feb 18 19:08:57 UTC 2026","passed","Wed Feb 18 19:08:57 UTC 2026","","","",""
"","50","Создание категории","","Wed Feb 18 19:08:31 UTC 2026","broken","Wed Feb 18 19:08:31 UTC 2026","","","",""
"","592","Отображение сообщения об ошибке если пароли не совпадают","","Wed Feb 18 19:09:09 UTC 2026","passed","Wed Feb 18 19:09:10 UTC 2026","","","",""
"","1521","Сообщение об ошибке при попытке добавить трату без категории","","Wed Feb 18 19:09:22 UTC 2026","passed","Wed Feb 18 19:09:24 UTC 2026","","","",""
"","1543","Сообщение об ошибке при попытке добавить трату без суммы","","Wed Feb 18 19:09:19 UTC 2026","passed","Wed Feb 18 19:09:21 UTC 2026","","","",""
"","1569","Редактирование категории","","Wed Feb 18 19:08:58 UTC 2026","passed","Wed Feb 18 19:08:59 UTC 2026","","","",""
"","397","Редактирование категории","","Wed Feb 18 19:09:05 UTC 2026","passed","Wed Feb 18 19:09:05 UTC 2026","","","",""
"","89","Удаление траты","","Wed Feb 18 19:08:37 UTC 2026","passed","Wed Feb 18 19:08:37 UTC 2026","","","",""
"","0","Редактирование категории","","Wed Feb 18 19:08:32 UTC 2026","broken","Wed Feb 18 19:08:32 UTC 2026","","","",""
"","625","Отображение сообщения об ошибке при вводе значений в поля недопустимое количество символов","","Wed Feb 18 19:09:08 UTC 2026","passed","Wed Feb 18 19:09:08 UTC 2026","","","",""
"","43","Получение траты","","Wed Feb 18 19:08:37 UTC 2026","passed","Wed Feb 18 19:08:37 UTC 2026","","","",""
"","10","Создание Траты","","Wed Feb 18 19:08:33 UTC 2026","broken","Wed Feb 18 19:08:33 UTC 2026","","","",""
"","11","Создание Траты","","Wed Feb 18 19:08:33 UTC 2026","broken","Wed Feb 18 19:08:33 UTC 2026","","","",""
"","613","Переход на страницу авторизации со страницы регистрации","","Wed Feb 18 19:09:11 UTC 2026","passed","Wed Feb 18 19:09:12 UTC 2026","","","",""
"","626","Отображение сообщения об ошибке при вводе значений в поля недопустимое количество символов","","Wed Feb 18 19:09:07 UTC 2026","passed","Wed Feb 18 19:09:07 UTC 2026","","","",""
